Colling,Context,Components,Tag,labels
द्रवीभूत-हृदयः,पत्रम् इदम् पठित्वा द्रवीभूत-हृदयः अश्रूपूर्णाकुलितेक्षणः गद्गद-स्वरेण अवरुद्ध-कण्ठ: सः जगाद बालकम्,द्रवीभूत-हृदयः,Bs6,Bahuvrihi
शैशव-अवस्थायाम्,शैशव-अवस्थायाम् श्रुताम् सिंह-सूकर-युद्ध-कथाम् अस्मरत् अयम्,शैशव-अवस्थायाम्,T6,Tatpurusha
प्रति-फलन्,नद्या नीरे प्रति-फलन् विषण्ण-वदन: कलानाथ: शनै: शनै: कम्पते,प्रति-फलन्,Tp,Tatpurusha
फल-हेतुकाः,प्रतिपन्न-नियोग-प्रतिषेध-अर्थः हि फल-हेतुभ्याम् आत्मनः अन्यत्वम् प्रतिपद्यते न पूर्वम्,फल-हेतुभ्याम्,Di,Dvandva
अन्-अघ!,लोके अस्मिन् द्विविधा निष्ठा पुरा प्रोक्ता मया न-अघ,न-अघ,Bs6,Bahuvrihi
भूत-ग्रामः,न-कृत-अभ्यागम-कृत-विप्रणाश-दोष-परिहार-अर्थम् बन्ध-मोक्ष-शास्त्र-प्रवृत्ति-साफल्य-प्रदर्शन-अर्थम् अविद्या-आदि-क्लेश-मूल-कर्म-आशय-वशात् च अवशः भूत-ग्रामः भूत्वा भूत्वा प्रलीयते इत्यतः संसारे वैराग्य-प्रदर्शन-अर्थम्,भूत-ग्रामः,T6,Tatpurusha
धर्मा-आत्मनां,सः धर्म-आत्मा आसीत्,धर्म-आत्मा,Bs6,Bahuvrihi
न-उपकारिणे,दातव्यम् इति यत् दानम् दीयते न-उपकारिणे,न-उपकारिणे,Tn,Tatpurusha
काष्ठ-विक्रेता,काष्ठ-विक्रेता सर्वम् रहस्यम् राजानम् अकथयत्,काष्ठ-विक्रेता,T6,Tatpurusha
वि-कर्माणि,सर्व-कर्माणि मनसा सन्न्यस्य आस्ते सुखम् वशी,सर्व-कर्माणि,K1,Tatpurusha
