Colling,Context,Components,Tag,labels
अ-विश्वसन्,उद्विग्न-मना अपि सा न-सम्भव तया प्रतीयमानेषु तत्-वचनेषु न-विश्वस्य स्वयम् तत्र जगाम,न-विश्वस्य,Tn,Tatpurusha
शशाङ्क-वक्त्रे,शक्रः वा भवतु गतिः शशाङ्क-वक्त्रे,शशाङ्क-वक्त्रे,Bsu,Bahuvrihi
नि-वेशनम्,नि-वेशम् प्रति अवादीत् किम् उक्तम् भवता,नि-वेशम्,Tp,Tatpurusha
शास्त्र-नित्याः,किन्तु यदा वेद-पारङ्गताः यज्ञ-कर्म-विदः शास्त्र-निष्णाताः आगच्छन्ति तदा तान् येन केन प्रकारेण,शास्त्र-निष्णाताः,T7,Tatpurusha
मार्ग-आयासस्य,भवतः मार्ग-आयासस्य परिहार-अर्थम् तस्य युवराजस्य कथाम् श्रावयामि,मार्ग-आयासस्य,T6,Tatpurusha
मार्ग-आयासस्य,भवन्तम् जागरयितुम् भवतः मार्ग-आयासस्य परिहाराय च तदीयाम् कथाम् अहम् इदानीम्,मार्ग-आयासस्य,T6,Tatpurusha
मार्ग-आयासस्य,मार्ग-आयासस्य परिहार-अर्थम् ताम् कथाम् श्रद्धया शृणोतु तावत्,मार्ग-आयासस्य,T3,Tatpurusha
मार्ग-आयासस्य,भवतः मार्ग-आयासस्य परिहाराय पुष्कर-विलासयोः कथाम् श्रावयामि,मार्ग-आयासस्य,T7,Tatpurusha
आर्य-वर्त्मनः,बहूनि इत्येतत् पुनः पुनः स्मरन् सः अहो-रात्रं कार्य-मग्नः भवति स्म,कार्य-मग्नः,T7,Tatpurusha
स-उद्योगम्,स-उद्योगम् नरम् आयान्ति विवशाः सर्व-संपदः,स-उद्योगम्,BvS,Bahuvrihi
मध्य-धारायाम्,सः मध्य-धारायाम् प्रवहन्तम् स्वर्णपुरितम्-घटम् अपश्यत्,मध्य-धारायाम्,T1,Tatpurusha
