Colling,Context,Components,Tag,labels
मन्द-स्वरेण,वृद्धम् पश्यन् मन्द-स्वरेण अयम् तादृशम् किञ्चन अभाषत अहम् अपि,मन्द-स्वरेण,k1,Tatpurusha
पशु-पक्षिणः,पशु-पक्षिणः अपि आश्रम-परिसरम् त्यक्तवन्तः,पशु-पक्षिणः,Di,Dvandva
जल-पात्रम्,इति ब्रुवन्त्या कमलया पूरितम् जल-पात्रम् श्वसुर-महाभागस्य अग्रे प्रस्तुतम्,जल-पात्रम्,T6,Tatpurusha
मृत्-सुरभिः,तृतीये सर्गे च तदा आननम् मृत्-सुरभिः क्षिति-ईश्वरः रहसि उपाघ्राय न तृप्तिम् आययौ,मृत्-सुरभिः,T6,Tatpurusha
न-शक्य,न-शक्य एव च परिणामः भवति उन्माद:,न-शक्य,Tn,Tatpurusha
ग्रहणी-गताः,कृशं प्रायः अभिधावन्ति रोगाः च ग्रहणी-गताः,ग्रहणी-गताः,T2,Tatpurusha
पूतिर्घ्राण-आस्यगन्धः,पूतिर्घ्राण-आस्यगन्धः च दन्त-शूलम् अ-रोचकः,पूतिर्घ्राण-आस्यगन्धः,Di,Dvandva
निर्-धनौ,तस्य पितरौ निर्-धनौ वृद्धौ च आस्ताम्,निर्-धनौ,Bvp,Bahuvrihi
अ-चिरेण,स्वामिन्याः आदेशं प्राप्य प्रसन्ना कमला न-चिरेण तथा आचरितवती,न-चिरेण,Tn,Tatpurusha
देव-देवक्योः,ततः अनन्तर-दिने एव देव-देवक्योः गौरव-शिवान्योः च विवाहः सम्पन्नः,देव-देवक्योः,Di,Dvandva
एवं-विध,बालकस्य अस्य एवं-विध नितराम् विस्मितः मार्गे गच्छन् एक: सभ्यः,एवं-विध,Bs5,Bahuvrihi
बहु-गालिकाः,महत्-आत्मानं गौतमबुद्धं प्राप्तः उच्चैः उच्चैः च तस्मै बहु-गालिकाः दातुं प्रवृत्तः,बहु-गालिकाः,K1,Tatpurusha
क्रोध-मूर्च्छितः,अध्यात्म-मार्ग ई जनः गीत-उपदेश-अनुसारेण मान-अपमानयोः दशायाम् अपि क्रोध-रहितः भवितुं कठिनां साधनां कृतवान्,क्रोध-रहितः,T3,Tatpurusha
स-सर्पे,स-सर्पे च गृहे वासः मृत्युः एव न,स-सर्पे,BvS,Bahuvrihi
मरण-अन्तं,तस्य मरण-अनन्तरं कृष्णः उग्रसेनं राजन्-सिंहासने प्रतिष्ठापितवान्,मरण-अनन्तरं,T6,Tatpurusha
न-निरीक्षित,परन्तु न-निरीक्षित भद्रवर्मा अपि तया सह नदी-विहार-अर्थम् प्रस्थितवान्,न-निरीक्षित,Tn,Tatpurusha
बल-वीर्याभ्यां,बल-वीर्यं रावणं नाशयित्वा,बल-वीर्यं,Di,Dvandva
पर्यश्रु-नयनं,अपराधस्य स्वीकृतेः लक्षणं नास्ति तत् श्रुत्वा सः अश्रु-नयनः तेनालीरामः अवदत् मया कदापि भवद्-वचसः प्रतिवादः,अश्रु-नयनः,K1,Tatpurusha
बाबू-महाशयेन,धृतम् च तत् पट-सम्पुटक-मध्ये बाबू-महाशयेन,बाबू-महाशयेन,K2,Tatpurusha
निर्-धन,अहं तव निर्-धन तां दूरीकर्तुं सहायतां करोमि,निर्-धन,Bvp,Bahuvrihi
